parameters,possibility,pval
"c(""disc_strk"",""strk_sum"",""junc_sum"")",possibility1,0.3647570957023463
"c(""disc_strk"",""strk_sum"",""junc_sum"")",possibility2,0.7181100933003345
"c(""disc_strk"",""strk_sum"",""junc_sum"")",possibility3,0.7603227006877511
"c(""disc_strk"",""strk_sum"",""PC"")",possibility1,0.2482484834678334
"c(""disc_strk"",""strk_sum"",""PC"")",possibility2,0.16386528038373574
"c(""disc_strk"",""strk_sum"",""PC"")",possibility3,0.013390465720454395
"c(""disc_strk"",""junc_sum"",""PC"")",possibility1,0.020822043153930134
"c(""disc_strk"",""junc_sum"",""PC"")",possibility2,0.011110193006987273
"c(""disc_strk"",""junc_sum"",""PC"")",possibility3,0.3341488635713654
"c(""strk_sum"",""junc_sum"",""PC"")",possibility1,0.45466477842822334
"c(""strk_sum"",""junc_sum"",""PC"")",possibility2,0.32206580715558353
"c(""strk_sum"",""junc_sum"",""PC"")",possibility3,0.5289083730878354
"c(""obj_num"",""disc_strk"",""strk_sum"",""junc_sum"")",possibility1,0.07333984126239608
"c(""obj_num"",""disc_strk"",""strk_sum"",""junc_sum"")",possibility2,0.09393877906005826
"c(""obj_num"",""disc_strk"",""strk_sum"",""junc_sum"")",possibility3,0.23182978818700004
"c(""obj_num"",""disc_strk"",""strk_sum"",""PC"")",possibility1,0.7132412022212216
"c(""obj_num"",""disc_strk"",""strk_sum"",""PC"")",possibility2,0.9543716316157911
"c(""obj_num"",""disc_strk"",""strk_sum"",""PC"")",possibility3,0.007845818815444097
"c(""obj_num"",""disc_strk"",""junc_sum"",""PC"")",possibility1,0.5391443838102967
"c(""obj_num"",""disc_strk"",""junc_sum"",""PC"")",possibility2,0.35170713631037603
"c(""obj_num"",""disc_strk"",""junc_sum"",""PC"")",possibility3,0.05942863173118582
"c(""obj_num"",""strk_sum"",""junc_sum"",""PC"")",possibility1,0.6813546313487312
"c(""obj_num"",""strk_sum"",""junc_sum"",""PC"")",possibility2,0.6042650744223479
"c(""obj_num"",""strk_sum"",""junc_sum"",""PC"")",possibility3,0.43898436038249805
"c(""disc_strk"",""strk_sum"",""junc_sum"",""PC"")",possibility1,0.06186634642135261
"c(""disc_strk"",""strk_sum"",""junc_sum"",""PC"")",possibility2,0.013536612644499724
"c(""disc_strk"",""strk_sum"",""junc_sum"",""PC"")",possibility3,0.259404109308652
